SettlementGroupID,TradingSegmentSN,TradingSegmentName,StartTime,InstrumentStatus,InstrumentID
SG02,1,开盘前,06:00:00,0,000001
SG02,2,非交易,09:10:00,1,000001
SG02,3,集合竞价报单,09:10:00,3,000001
SG02,4,集合竞价撮合,09:14:00,5,000001
SG02,5,非交易,09:15:00,1,000001
SG02,6,连续交易,09:15:00,2,000001
SG02,7,非交易,11:30:00,1,000001
SG02,8,连续交易,13:00:00,2,000001
SG02,9,非交易,15:15:00,1,000001
SG02,10,收盘,15:15:00,6,000001
SG02,1,开盘前,06:00:00,0,000002
SG02,2,非交易,09:10:00,1,000002
SG02,3,集合竞价报单,09:10:00,3,000002
SG02,4,集合竞价撮合,09:14:00,5,000002
SG02,5,非交易,09:15:00,1,000002
SG02,6,连续交易,09:15:00,2,000002
SG02,7,非交易,11:30:00,1,000002
SG02,8,连续交易,13:00:00,2,000002
SG02,9,非交易,15:15:00,1,000002
SG02,10,收盘,15:15:00,6,000002
SG02,1,开盘前,06:00:00,0,000004
SG02,2,非交易,09:10:00,1,000004
SG02,3,集合竞价报单,09:10:00,3,000004
SG02,4,集合竞价撮合,09:14:00,5,000004
SG02,5,非交易,09:15:00,1,000004
SG02,6,连续交易,09:15:00,2,000004
SG02,7,非交易,11:30:00,1,000004
SG02,8,连续交易,13:00:00,2,000004
SG02,9,非交易,15:15:00,1,000004
SG02,10,收盘,15:15:00,6,000004
SG02,1,开盘前,06:00:00,0,000005
SG02,2,非交易,09:10:00,1,000005
SG02,3,集合竞价报单,09:10:00,3,000005
SG02,4,集合竞价撮合,09:14:00,5,000005
SG02,5,非交易,09:15:00,1,000005
SG02,6,连续交易,09:15:00,2,000005
SG02,7,非交易,11:30:00,1,000005
SG02,8,连续交易,13:00:00,2,000005
SG02,9,非交易,15:15:00,1,000005
SG02,10,收盘,15:15:00,6,000005
SG02,1,开盘前,06:00:00,0,000006
SG02,2,非交易,09:10:00,1,000006
SG02,3,集合竞价报单,09:10:00,3,000006
SG02,4,集合竞价撮合,09:14:00,5,000006
SG02,5,非交易,09:15:00,1,000006
SG02,6,连续交易,09:15:00,2,000006
SG02,7,非交易,11:30:00,1,000006
SG02,8,连续交易,13:00:00,2,000006
SG02,9,非交易,15:15:00,1,000006
SG02,10,收盘,15:15:00,6,000006
SG02,1,开盘前,06:00:00,0,000007
SG02,2,非交易,09:10:00,1,000007
SG02,3,集合竞价报单,09:10:00,3,000007
SG02,4,集合竞价撮合,09:14:00,5,000007
SG02,5,非交易,09:15:00,1,000007
SG02,6,连续交易,09:15:00,2,000007
SG02,7,非交易,11:30:00,1,000007
SG02,8,连续交易,13:00:00,2,000007
SG02,9,非交易,15:15:00,1,000007
SG02,10,收盘,15:15:00,6,000007
SG02,1,开盘前,06:00:00,0,000008
SG02,2,非交易,09:10:00,1,000008
SG02,3,集合竞价报单,09:10:00,3,000008
SG02,4,集合竞价撮合,09:14:00,5,000008
SG02,5,非交易,09:15:00,1,000008
SG02,6,连续交易,09:15:00,2,000008
SG02,7,非交易,11:30:00,1,000008
SG02,8,连续交易,13:00:00,2,000008
SG02,9,非交易,15:15:00,1,000008
SG02,10,收盘,15:15:00,6,000008
SG02,1,开盘前,06:00:00,0,000009
SG02,2,非交易,09:10:00,1,000009
SG02,3,集合竞价报单,09:10:00,3,000009
SG02,4,集合竞价撮合,09:14:00,5,000009
SG02,5,非交易,09:15:00,1,000009
SG02,6,连续交易,09:15:00,2,000009
SG02,7,非交易,11:30:00,1,000009
SG02,8,连续交易,13:00:00,2,000009
SG02,9,非交易,15:15:00,1,000009
SG02,10,收盘,15:15:00,6,000009
SG02,1,开盘前,06:00:00,0,000010
SG02,2,非交易,09:10:00,1,000010
SG02,3,集合竞价报单,09:10:00,3,000010
SG02,4,集合竞价撮合,09:14:00,5,000010
SG02,5,非交易,09:15:00,1,000010
SG02,6,连续交易,09:15:00,2,000010
SG02,7,非交易,11:30:00,1,000010
SG02,8,连续交易,13:00:00,2,000010
SG02,9,非交易,15:15:00,1,000010
SG02,10,收盘,15:15:00,6,000010
SG02,1,开盘前,06:00:00,0,000011
SG02,2,非交易,09:10:00,1,000011
SG02,3,集合竞价报单,09:10:00,3,000011
SG02,4,集合竞价撮合,09:14:00,5,000011
SG02,5,非交易,09:15:00,1,000011
SG02,6,连续交易,09:15:00,2,000011
SG02,7,非交易,11:30:00,1,000011
SG02,8,连续交易,13:00:00,2,000011
SG02,9,非交易,15:15:00,1,000011
SG02,10,收盘,15:15:00,6,000011
SG02,1,开盘前,06:00:00,0,000012
SG02,2,非交易,09:10:00,1,000012
SG02,3,集合竞价报单,09:10:00,3,000012
SG02,4,集合竞价撮合,09:14:00,5,000012
SG02,5,非交易,09:15:00,1,000012
SG02,6,连续交易,09:15:00,2,000012
SG02,7,非交易,11:30:00,1,000012
SG02,8,连续交易,13:00:00,2,000012
SG02,9,非交易,15:15:00,1,000012
SG02,10,收盘,15:15:00,6,000012
SG02,1,开盘前,06:00:00,0,000014
SG02,2,非交易,09:10:00,1,000014
SG02,3,集合竞价报单,09:10:00,3,000014
SG02,4,集合竞价撮合,09:14:00,5,000014
SG02,5,非交易,09:15:00,1,000014
SG02,6,连续交易,09:15:00,2,000014
SG02,7,非交易,11:30:00,1,000014
SG02,8,连续交易,13:00:00,2,000014
SG02,9,非交易,15:15:00,1,000014
SG02,10,收盘,15:15:00,6,000014
SG02,1,开盘前,06:00:00,0,000016
SG02,2,非交易,09:10:00,1,000016
SG02,3,集合竞价报单,09:10:00,3,000016
SG02,4,集合竞价撮合,09:14:00,5,000016
SG02,5,非交易,09:15:00,1,000016
SG02,6,连续交易,09:15:00,2,000016
SG02,7,非交易,11:30:00,1,000016
SG02,8,连续交易,13:00:00,2,000016
SG02,9,非交易,15:15:00,1,000016
SG02,10,收盘,15:15:00,6,000016
SG02,1,开盘前,06:00:00,0,000017
SG02,2,非交易,09:10:00,1,000017
SG02,3,集合竞价报单,09:10:00,3,000017
SG02,4,集合竞价撮合,09:14:00,5,000017
SG02,5,非交易,09:15:00,1,000017
SG02,6,连续交易,09:15:00,2,000017
SG02,7,非交易,11:30:00,1,000017
SG02,8,连续交易,13:00:00,2,000017
SG02,9,非交易,15:15:00,1,000017
SG02,10,收盘,15:15:00,6,000017
SG02,1,开盘前,06:00:00,0,000018
SG02,2,非交易,09:10:00,1,000018
SG02,3,集合竞价报单,09:10:00,3,000018
SG02,4,集合竞价撮合,09:14:00,5,000018
SG02,5,非交易,09:15:00,1,000018
SG02,6,连续交易,09:15:00,2,000018
SG02,7,非交易,11:30:00,1,000018
SG02,8,连续交易,13:00:00,2,000018
SG02,9,非交易,15:15:00,1,000018
SG02,10,收盘,15:15:00,6,000018
SG02,1,开盘前,06:00:00,0,000019
SG02,2,非交易,09:10:00,1,000019
SG02,3,集合竞价报单,09:10:00,3,000019
SG02,4,集合竞价撮合,09:14:00,5,000019
SG02,5,非交易,09:15:00,1,000019
SG02,6,连续交易,09:15:00,2,000019
SG02,7,非交易,11:30:00,1,000019
SG02,8,连续交易,13:00:00,2,000019
SG02,9,非交易,15:15:00,1,000019
SG02,10,收盘,15:15:00,6,000019
SG02,1,开盘前,06:00:00,0,000020
SG02,2,非交易,09:10:00,1,000020
SG02,3,集合竞价报单,09:10:00,3,000020
SG02,4,集合竞价撮合,09:14:00,5,000020
SG02,5,非交易,09:15:00,1,000020
SG02,6,连续交易,09:15:00,2,000020
SG02,7,非交易,11:30:00,1,000020
SG02,8,连续交易,13:00:00,2,000020
SG02,9,非交易,15:15:00,1,000020
SG02,10,收盘,15:15:00,6,000020
SG02,1,开盘前,06:00:00,0,000021
SG02,2,非交易,09:10:00,1,000021
SG02,3,集合竞价报单,09:10:00,3,000021
SG02,4,集合竞价撮合,09:14:00,5,000021
SG02,5,非交易,09:15:00,1,000021
SG02,6,连续交易,09:15:00,2,000021
SG02,7,非交易,11:30:00,1,000021
SG02,8,连续交易,13:00:00,2,000021
SG02,9,非交易,15:15:00,1,000021
SG02,10,收盘,15:15:00,6,000021
SG02,1,开盘前,06:00:00,0,000022
SG02,2,非交易,09:10:00,1,000022
SG02,3,集合竞价报单,09:10:00,3,000022
SG02,4,集合竞价撮合,09:14:00,5,000022
SG02,5,非交易,09:15:00,1,000022
SG02,6,连续交易,09:15:00,2,000022
SG02,7,非交易,11:30:00,1,000022
SG02,8,连续交易,13:00:00,2,000022
SG02,9,非交易,15:15:00,1,000022
SG02,10,收盘,15:15:00,6,000022
SG02,1,开盘前,06:00:00,0,000023
SG02,2,非交易,09:10:00,1,000023
SG02,3,集合竞价报单,09:10:00,3,000023
SG02,4,集合竞价撮合,09:14:00,5,000023
SG02,5,非交易,09:15:00,1,000023
SG02,6,连续交易,09:15:00,2,000023
SG02,7,非交易,11:30:00,1,000023
SG02,8,连续交易,13:00:00,2,000023
SG02,9,非交易,15:15:00,1,000023
SG02,10,收盘,15:15:00,6,000023
SG02,1,开盘前,06:00:00,0,000025
SG02,2,非交易,09:10:00,1,000025
SG02,3,集合竞价报单,09:10:00,3,000025
SG02,4,集合竞价撮合,09:14:00,5,000025
SG02,5,非交易,09:15:00,1,000025
SG02,6,连续交易,09:15:00,2,000025
SG02,7,非交易,11:30:00,1,000025
SG02,8,连续交易,13:00:00,2,000025
SG02,9,非交易,15:15:00,1,000025
SG02,10,收盘,15:15:00,6,000025
SG02,1,开盘前,06:00:00,0,000026
SG02,2,非交易,09:10:00,1,000026
SG02,3,集合竞价报单,09:10:00,3,000026
SG02,4,集合竞价撮合,09:14:00,5,000026
SG02,5,非交易,09:15:00,1,000026
SG02,6,连续交易,09:15:00,2,000026
SG02,7,非交易,11:30:00,1,000026
SG02,8,连续交易,13:00:00,2,000026
SG02,9,非交易,15:15:00,1,000026
SG02,10,收盘,15:15:00,6,000026
SG02,1,开盘前,06:00:00,0,000027
SG02,2,非交易,09:10:00,1,000027
SG02,3,集合竞价报单,09:10:00,3,000027
SG02,4,集合竞价撮合,09:14:00,5,000027
SG02,5,非交易,09:15:00,1,000027
SG02,6,连续交易,09:15:00,2,000027
SG02,7,非交易,11:30:00,1,000027
SG02,8,连续交易,13:00:00,2,000027
SG02,9,非交易,15:15:00,1,000027
SG02,10,收盘,15:15:00,6,000027
SG02,1,开盘前,06:00:00,0,000028
SG02,2,非交易,09:10:00,1,000028
SG02,3,集合竞价报单,09:10:00,3,000028
SG02,4,集合竞价撮合,09:14:00,5,000028
SG02,5,非交易,09:15:00,1,000028
SG02,6,连续交易,09:15:00,2,000028
SG02,7,非交易,11:30:00,1,000028
SG02,8,连续交易,13:00:00,2,000028
SG02,9,非交易,15:15:00,1,000028
SG02,10,收盘,15:15:00,6,000028
SG02,1,开盘前,06:00:00,0,000029
SG02,2,非交易,09:10:00,1,000029
SG02,3,集合竞价报单,09:10:00,3,000029
SG02,4,集合竞价撮合,09:14:00,5,000029
SG02,5,非交易,09:15:00,1,000029
SG02,6,连续交易,09:15:00,2,000029
SG02,7,非交易,11:30:00,1,000029
SG02,8,连续交易,13:00:00,2,000029
SG02,9,非交易,15:15:00,1,000029
SG02,10,收盘,15:15:00,6,000029
SG02,1,开盘前,06:00:00,0,000030
SG02,2,非交易,09:10:00,1,000030
SG02,3,集合竞价报单,09:10:00,3,000030
SG02,4,集合竞价撮合,09:14:00,5,000030
SG02,5,非交易,09:15:00,1,000030
SG02,6,连续交易,09:15:00,2,000030
SG02,7,非交易,11:30:00,1,000030
SG02,8,连续交易,13:00:00,2,000030
SG02,9,非交易,15:15:00,1,000030
SG02,10,收盘,15:15:00,6,000030
SG02,1,开盘前,06:00:00,0,000031
SG02,2,非交易,09:10:00,1,000031
SG02,3,集合竞价报单,09:10:00,3,000031
SG02,4,集合竞价撮合,09:14:00,5,000031
SG02,5,非交易,09:15:00,1,000031
SG02,6,连续交易,09:15:00,2,000031
SG02,7,非交易,11:30:00,1,000031
SG02,8,连续交易,13:00:00,2,000031
SG02,9,非交易,15:15:00,1,000031
SG02,10,收盘,15:15:00,6,000031
SG02,1,开盘前,06:00:00,0,000032
SG02,2,非交易,09:10:00,1,000032
SG02,3,集合竞价报单,09:10:00,3,000032
SG02,4,集合竞价撮合,09:14:00,5,000032
SG02,5,非交易,09:15:00,1,000032
SG02,6,连续交易,09:15:00,2,000032
SG02,7,非交易,11:30:00,1,000032
SG02,8,连续交易,13:00:00,2,000032
SG02,9,非交易,15:15:00,1,000032
SG02,10,收盘,15:15:00,6,000032
SG02,1,开盘前,06:00:00,0,000034
SG02,2,非交易,09:10:00,1,000034
SG02,3,集合竞价报单,09:10:00,3,000034
SG02,4,集合竞价撮合,09:14:00,5,000034
SG02,5,非交易,09:15:00,1,000034
SG02,6,连续交易,09:15:00,2,000034
SG02,7,非交易,11:30:00,1,000034
SG02,8,连续交易,13:00:00,2,000034
SG02,9,非交易,15:15:00,1,000034
SG02,10,收盘,15:15:00,6,000034
SG02,1,开盘前,06:00:00,0,000035
SG02,2,非交易,09:10:00,1,000035
SG02,3,集合竞价报单,09:10:00,3,000035
SG02,4,集合竞价撮合,09:14:00,5,000035
SG02,5,非交易,09:15:00,1,000035
SG02,6,连续交易,09:15:00,2,000035
SG02,7,非交易,11:30:00,1,000035
SG02,8,连续交易,13:00:00,2,000035
SG02,9,非交易,15:15:00,1,000035
SG02,10,收盘,15:15:00,6,000035
SG02,1,开盘前,06:00:00,0,000036
SG02,2,非交易,09:10:00,1,000036
SG02,3,集合竞价报单,09:10:00,3,000036
SG02,4,集合竞价撮合,09:14:00,5,000036
SG02,5,非交易,09:15:00,1,000036
SG02,6,连续交易,09:15:00,2,000036
SG02,7,非交易,11:30:00,1,000036
SG02,8,连续交易,13:00:00,2,000036
SG02,9,非交易,15:15:00,1,000036
SG02,10,收盘,15:15:00,6,000036
SG02,1,开盘前,06:00:00,0,000037
SG02,2,非交易,09:10:00,1,000037
SG02,3,集合竞价报单,09:10:00,3,000037
SG02,4,集合竞价撮合,09:14:00,5,000037
SG02,5,非交易,09:15:00,1,000037
SG02,6,连续交易,09:15:00,2,000037
SG02,7,非交易,11:30:00,1,000037
SG02,8,连续交易,13:00:00,2,000037
SG02,9,非交易,15:15:00,1,000037
SG02,10,收盘,15:15:00,6,000037
SG02,1,开盘前,06:00:00,0,000038
SG02,2,非交易,09:10:00,1,000038
SG02,3,集合竞价报单,09:10:00,3,000038
SG02,4,集合竞价撮合,09:14:00,5,000038
SG02,5,非交易,09:15:00,1,000038
SG02,6,连续交易,09:15:00,2,000038
SG02,7,非交易,11:30:00,1,000038
SG02,8,连续交易,13:00:00,2,000038
SG02,9,非交易,15:15:00,1,000038
SG02,10,收盘,15:15:00,6,000038
SG02,1,开盘前,06:00:00,0,000039
SG02,2,非交易,09:10:00,1,000039
SG02,3,集合竞价报单,09:10:00,3,000039
SG02,4,集合竞价撮合,09:14:00,5,000039
SG02,5,非交易,09:15:00,1,000039
SG02,6,连续交易,09:15:00,2,000039
SG02,7,非交易,11:30:00,1,000039
SG02,8,连续交易,13:00:00,2,000039
SG02,9,非交易,15:15:00,1,000039
SG02,10,收盘,15:15:00,6,000039
SG02,1,开盘前,06:00:00,0,000040
SG02,2,非交易,09:10:00,1,000040
SG02,3,集合竞价报单,09:10:00,3,000040
SG02,4,集合竞价撮合,09:14:00,5,000040
SG02,5,非交易,09:15:00,1,000040
SG02,6,连续交易,09:15:00,2,000040
SG02,7,非交易,11:30:00,1,000040
SG02,8,连续交易,13:00:00,2,000040
SG02,9,非交易,15:15:00,1,000040
SG02,10,收盘,15:15:00,6,000040
SG02,1,开盘前,06:00:00,0,000042
SG02,2,非交易,09:10:00,1,000042
SG02,3,集合竞价报单,09:10:00,3,000042
SG02,4,集合竞价撮合,09:14:00,5,000042
SG02,5,非交易,09:15:00,1,000042
SG02,6,连续交易,09:15:00,2,000042
SG02,7,非交易,11:30:00,1,000042
SG02,8,连续交易,13:00:00,2,000042
SG02,9,非交易,15:15:00,1,000042
SG02,10,收盘,15:15:00,6,000042
SG02,1,开盘前,06:00:00,0,000043
SG02,2,非交易,09:10:00,1,000043
SG02,3,集合竞价报单,09:10:00,3,000043
SG02,4,集合竞价撮合,09:14:00,5,000043
SG02,5,非交易,09:15:00,1,000043
SG02,6,连续交易,09:15:00,2,000043
SG02,7,非交易,11:30:00,1,000043
SG02,8,连续交易,13:00:00,2,000043
SG02,9,非交易,15:15:00,1,000043
SG02,10,收盘,15:15:00,6,000043
SG02,1,开盘前,06:00:00,0,000045
SG02,2,非交易,09:10:00,1,000045
SG02,3,集合竞价报单,09:10:00,3,000045
SG02,4,集合竞价撮合,09:14:00,5,000045
SG02,5,非交易,09:15:00,1,000045
SG02,6,连续交易,09:15:00,2,000045
SG02,7,非交易,11:30:00,1,000045
SG02,8,连续交易,13:00:00,2,000045
SG02,9,非交易,15:15:00,1,000045
SG02,10,收盘,15:15:00,6,000045
SG02,1,开盘前,06:00:00,0,000046
SG02,2,非交易,09:10:00,1,000046
SG02,3,集合竞价报单,09:10:00,3,000046
SG02,4,集合竞价撮合,09:14:00,5,000046
SG02,5,非交易,09:15:00,1,000046
SG02,6,连续交易,09:15:00,2,000046
SG02,7,非交易,11:30:00,1,000046
SG02,8,连续交易,13:00:00,2,000046
SG02,9,非交易,15:15:00,1,000046
SG02,10,收盘,15:15:00,6,000046
SG02,1,开盘前,06:00:00,0,000048
SG02,2,非交易,09:10:00,1,000048
SG02,3,集合竞价报单,09:10:00,3,000048
SG02,4,集合竞价撮合,09:14:00,5,000048
SG02,5,非交易,09:15:00,1,000048
SG02,6,连续交易,09:15:00,2,000048
SG02,7,非交易,11:30:00,1,000048
SG02,8,连续交易,13:00:00,2,000048
SG02,9,非交易,15:15:00,1,000048
SG02,10,收盘,15:15:00,6,000048
SG02,1,开盘前,06:00:00,0,000049
SG02,2,非交易,09:10:00,1,000049
SG02,3,集合竞价报单,09:10:00,3,000049
SG02,4,集合竞价撮合,09:14:00,5,000049
SG02,5,非交易,09:15:00,1,000049
SG02,6,连续交易,09:15:00,2,000049
SG02,7,非交易,11:30:00,1,000049
SG02,8,连续交易,13:00:00,2,000049
SG02,9,非交易,15:15:00,1,000049
SG02,10,收盘,15:15:00,6,000049
SG02,1,开盘前,06:00:00,0,000050
SG02,2,非交易,09:10:00,1,000050
SG02,3,集合竞价报单,09:10:00,3,000050
SG02,4,集合竞价撮合,09:14:00,5,000050
SG02,5,非交易,09:15:00,1,000050
SG02,6,连续交易,09:15:00,2,000050
SG02,7,非交易,11:30:00,1,000050
SG02,8,连续交易,13:00:00,2,000050
SG02,9,非交易,15:15:00,1,000050
SG02,10,收盘,15:15:00,6,000050
SG02,1,开盘前,06:00:00,0,000055
SG02,2,非交易,09:10:00,1,000055
SG02,3,集合竞价报单,09:10:00,3,000055
